"household_id","chw_id","region","visit_date","family_size","has_itn","referral_code","issue_date","redemption_date","redemption_facility","referral_status","redemption_status"
"HH0139","CHW008","Dagoretti",2023-12-08,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0140","CHW005","Lang'ata",2023-10-07,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0141","CHW006","Kawangware",2023-06-03,7,FALSE,"REF0094",2023-06-03,NA,NA,"Yes","No"
"HH0142","CHW005","Uthiru",2023-07-16,2,FALSE,"REF0095",2023-07-16,NA,NA,"Yes","No"
"HH0143","CHW010","Limuru",2023-12-25,7,FALSE,"REF0096",2023-12-25,NA,NA,"Yes","No"
"HH0144","CHW001","Limuru",2023-09-12,5,FALSE,"REF0097",2023-09-12,2023-10-08,"FAC012","Yes","Yes"
"HH0145","CHW004","Juja",2023-11-14,3,FALSE,"REF0098",2023-11-14,NA,NA,"Yes","No"
"HH0146","CHW001","Kasarani",2023-08-14,6,TRUE,NA,NA,NA,NA,"No","No"
"HH0147","CHW003","Limuru",2023-06-01,7,FALSE,"REF0099",2023-06-01,2023-06-19,"FAC012","Yes","Yes"
"HH0148","CHW009","Ruaraka",2023-05-20,5,FALSE,NA,NA,NA,NA,"No","No"
"HH0149","CHW008","Dagoretti",2023-06-23,8,FALSE,NA,NA,NA,NA,"No","No"
"HH0150","CHW003","Limuru",2023-12-13,7,FALSE,NA,NA,NA,NA,"No","No"
"HH0151","CHW009","Dagoretti",2023-02-16,1,FALSE,"REF0100",2023-02-16,2023-02-28,"FAC009","Yes","Yes"
"HH0152","CHW010","Limuru",2023-11-23,2,FALSE,"REF0101",2023-11-23,NA,NA,"Yes","No"
"HH0153","CHW010","Dagoretti",2023-06-17,4,FALSE,"REF0102",2023-06-17,NA,NA,"Yes","No"
"HH0154","CHW008","Dagoretti",2023-11-29,3,FALSE,"REF0103",2023-11-29,2023-12-15,"FAC004","Yes","Yes"
"HH0155","CHW002","Ruaraka",2023-10-03,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0156","CHW006","Kawangware",2023-12-23,7,FALSE,"REF0104",2023-12-23,NA,NA,"Yes","No"
"HH0157","CHW007","Ruaraka",2023-09-08,5,FALSE,"REF0105",2023-09-08,2023-09-23,"FAC015","Yes","Yes"
"HH0158","CHW004","Juja",2023-02-20,6,FALSE,"REF0106",2023-02-20,NA,NA,"Yes","No"
"HH0159","CHW006","Embakasi",2023-07-23,2,FALSE,NA,NA,NA,NA,"No","No"
"HH0160","CHW008","Dagoretti",2023-12-06,1,FALSE,"REF0107",2023-12-06,2023-12-11,"FAC019","Yes","Yes"
"HH0161","CHW004","Juja",2023-10-11,4,FALSE,NA,NA,NA,NA,"No","No"
"HH0162","CHW004","Juja",2023-03-17,1,FALSE,"REF0108",2023-03-17,NA,NA,"Yes","No"
"HH0163","CHW003","Limuru",2023-03-31,1,TRUE,NA,NA,NA,NA,"No","No"
"HH0164","CHW003","Limuru",2023-07-03,4,FALSE,"REF0109",2023-07-03,2023-07-12,"FAC002","Yes","Yes"
"HH0165","CHW003","Limuru",2023-09-27,2,TRUE,NA,NA,NA,NA,"No","No"
"HH0166","CHW008","Dagoretti",2023-07-05,2,FALSE,"REF0110",2023-07-05,2023-07-25,"FAC002","Yes","Yes"
"HH0167","CHW009","Dagoretti",2023-08-23,1,FALSE,"REF0111",2023-08-23,NA,NA,"Yes","No"
"HH0168","CHW007","Ruaraka",2023-12-18,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0169","CHW002","Ruaraka",2023-06-14,2,FALSE,"REF0112",2023-06-14,NA,NA,"Yes","No"
"HH0170","CHW010","Dagoretti",2023-12-31,5,FALSE,"REF0113",2023-12-31,NA,NA,"Yes","No"
"HH0171","CHW002","Ruaraka",2023-12-02,4,FALSE,"REF0114",2023-12-02,NA,NA,"Yes","No"
"HH0172","CHW007","Ruaraka",2023-08-21,2,FALSE,"REF0115",2023-08-21,2023-08-30,"FAC012","Yes","Yes"
"HH0173","CHW003","Limuru",2023-02-04,2,TRUE,NA,NA,NA,NA,"No","No"
"HH0174","CHW002","Uthiru",2023-02-19,6,FALSE,NA,NA,NA,NA,"No","No"
"HH0175","CHW009","Kasarani",2023-10-28,6,FALSE,"REF0116",2023-10-28,NA,NA,"Yes","No"
"HH0176","CHW007","Ruaraka",2023-05-28,6,FALSE,"REF0117",2023-05-28,NA,NA,"Yes","No"
"HH0177","CHW003","Limuru",2023-04-25,6,FALSE,NA,NA,NA,NA,"No","No"
"HH0178","CHW006","Embakasi",2023-05-23,7,FALSE,NA,NA,NA,NA,"No","No"
"HH0179","CHW010","Dagoretti",2023-12-12,1,FALSE,"REF0118",2023-12-12,NA,NA,"Yes","No"
"HH0180","CHW005","Uthiru",2023-04-03,5,FALSE,NA,NA,NA,NA,"No","No"
"HH0181","CHW006","Embakasi",2023-04-03,7,FALSE,"REF0119",2023-04-03,NA,NA,"Yes","No"
"HH0182","CHW001","Lang'ata",2023-09-29,7,FALSE,"REF0120",2023-09-29,2023-10-09,"FAC011","Yes","Yes"
"HH0183","CHW010","Dagoretti",2023-02-13,3,FALSE,"REF0121",2023-02-13,NA,NA,"Yes","No"
"HH0184","CHW002","Uthiru",2023-08-15,8,FALSE,"REF0122",2023-08-15,NA,NA,"Yes","No"
"HH0185","CHW004","Juja",2023-06-26,5,FALSE,"REF0123",2023-06-26,NA,NA,"Yes","No"
"HH0186","CHW009","Ruaraka",2023-06-07,7,TRUE,NA,NA,NA,NA,"No","No"
"HH0187","CHW010","Juja",2023-01-04,4,FALSE,"REF0124",2023-01-04,NA,NA,"Yes","No"
"HH0188","CHW005","Dagoretti",2023-03-03,7,TRUE,NA,NA,NA,NA,"No","No"
"HH0189","CHW003","Limuru",2023-07-14,4,FALSE,"REF0125",2023-07-14,NA,NA,"Yes","No"
"HH0190","CHW006","Embakasi",2023-07-23,1,FALSE,"REF0126",2023-07-23,NA,NA,"Yes","No"
"HH0191","CHW002","Uthiru",2023-10-22,7,FALSE,"REF0127",2023-10-22,NA,NA,"Yes","No"
"HH0192","CHW002","Uthiru",2023-01-11,3,FALSE,NA,NA,NA,NA,"No","No"
"HH0193","CHW010","Limuru",2023-12-20,2,FALSE,"REF0128",2023-12-20,2024-01-03,"FAC019","Yes","Yes"
"HH0194","CHW007","Ruaraka",2023-07-22,6,FALSE,"REF0129",2023-07-22,NA,NA,"Yes","No"
"HH0195","CHW002","Ruaraka",2023-09-29,6,FALSE,"REF0130",2023-09-29,NA,NA,"Yes","No"
"HH0196","CHW003","Limuru",2023-02-22,4,TRUE,NA,NA,NA,NA,"No","No"
"HH0197","CHW003","Limuru",2023-12-02,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0198","CHW008","Dagoretti",2023-12-15,6,FALSE,NA,NA,NA,NA,"No","No"
"HH0199","CHW006","Embakasi",2023-08-14,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0200","CHW005","Dagoretti",2023-10-30,2,TRUE,NA,NA,NA,NA,"No","No"
"HH0201","CHW005","Dagoretti",2023-08-20,6,TRUE,NA,NA,NA,NA,"No","No"
"HH0202","CHW005","Uthiru",2023-11-27,2,FALSE,"REF0131",2023-11-27,NA,NA,"Yes","No"
"HH0203","CHW008","Dagoretti",2023-08-19,4,FALSE,"REF0132",2023-08-19,NA,NA,"Yes","No"
"HH0204","CHW003","Limuru",2023-08-19,6,TRUE,NA,NA,NA,NA,"No","No"
"HH0205","CHW002","Ruaraka",2023-01-21,8,FALSE,NA,NA,NA,NA,"No","No"
"HH0206","CHW009","Ruaraka",2023-11-09,6,TRUE,NA,NA,NA,NA,"No","No"
"HH0207","CHW005","Dagoretti",2023-07-29,1,FALSE,"REF0133",2023-07-29,NA,NA,"Yes","No"
"HH0208","CHW002","Uthiru",2023-02-18,7,FALSE,"REF0134",2023-02-18,NA,NA,"Yes","No"
"HH0209","CHW010","Juja",2023-06-20,3,TRUE,NA,NA,NA,NA,"No","No"
"HH0210","CHW006","Kasarani",2023-12-02,7,FALSE,"REF0135",2023-12-02,NA,NA,"Yes","No"
"HH0211","CHW002","Uthiru",2023-10-14,6,FALSE,NA,NA,NA,NA,"No","No"
"HH0212","CHW009","Kasarani",2023-11-27,6,FALSE,"REF0136",2023-11-27,2023-12-04,"FAC011","Yes","Yes"
"HH0213","CHW008","Dagoretti",2023-04-26,3,FALSE,"REF0137",2023-04-26,NA,NA,"Yes","No"
"HH0214","CHW002","Ruaraka",2023-12-05,3,FALSE,"REF0138",2023-12-05,2023-12-11,"FAC020","Yes","Yes"
"HH0215","CHW003","Limuru",2023-01-23,4,FALSE,NA,NA,NA,NA,"No","No"
"HH0216","CHW010","Limuru",2023-08-18,4,FALSE,"REF0139",2023-08-18,NA,NA,"Yes","No"
"HH0217","CHW008","Dagoretti",2023-07-08,8,FALSE,"REF0140",2023-07-08,2023-07-21,"FAC017","Yes","Yes"
"HH0218","CHW009","Dagoretti",2023-03-24,3,FALSE,NA,NA,NA,NA,"No","No"
"HH0219","CHW001","Limuru",2023-09-04,2,FALSE,"REF0141",2023-09-04,NA,NA,"Yes","No"
"HH0220","CHW002","Uthiru",2023-02-12,5,FALSE,"REF0142",2023-02-12,NA,NA,"Yes","No"
"HH0221","CHW007","Ruaraka",2023-04-24,6,FALSE,NA,NA,NA,NA,"No","No"
"HH0222","CHW007","Ruaraka",2023-07-22,4,FALSE,"REF0143",2023-07-22,2023-07-30,"FAC001","Yes","Yes"
"HH0223","CHW006","Embakasi",2023-11-29,3,FALSE,"REF0144",2023-11-29,2023-12-26,"FAC016","Yes","Yes"
"HH0224","CHW003","Limuru",2023-08-18,2,FALSE,"REF0145",2023-08-18,2023-08-23,"FAC018","Yes","Yes"
"HH0225","CHW010","Dagoretti",2023-08-05,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0226","CHW004","Juja",2023-03-04,7,TRUE,NA,NA,NA,NA,"No","No"
"HH0227","CHW010","Limuru",2023-02-02,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0228","CHW010","Dagoretti",2023-01-09,4,FALSE,"REF0146",2023-01-09,2023-01-10,"FAC020","Yes","Yes"
"HH0229","CHW006","Embakasi",2023-10-20,2,FALSE,"REF0147",2023-10-20,2023-11-06,"FAC018","Yes","Yes"
"HH0230","CHW009","Ruaraka",2023-10-11,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0231","CHW001","Limuru",2023-07-18,5,FALSE,"REF0148",2023-07-18,2023-07-21,"FAC012","Yes","Yes"
"HH0232","CHW004","Juja",2023-10-25,6,FALSE,"REF0149",2023-10-25,2023-11-05,"FAC006","Yes","Yes"
"HH0233","CHW008","Dagoretti",2023-11-20,3,TRUE,NA,NA,NA,NA,"No","No"
"HH0234","CHW002","Uthiru",2023-01-19,1,FALSE,"REF0150",2023-01-19,NA,NA,"Yes","No"
"HH0235","CHW006","Kasarani",2023-09-21,8,FALSE,"REF0151",2023-09-21,NA,NA,"Yes","No"
"HH0236","CHW004","Juja",2023-07-02,1,FALSE,NA,NA,NA,NA,"No","No"
"HH0237","CHW006","Kasarani",2023-03-05,7,FALSE,NA,NA,NA,NA,"No","No"
"HH0238","CHW008","Dagoretti",2023-06-23,8,FALSE,"REF0152",2023-06-23,2023-07-19,"FAC017","Yes","Yes"
"HH0239","CHW005","Uthiru",2023-08-06,3,TRUE,NA,NA,NA,NA,"No","No"
"HH0240","CHW009","Dagoretti",2023-06-14,6,TRUE,NA,NA,NA,NA,"No","No"
"HH0241","CHW005","Dagoretti",2023-08-17,7,FALSE,"REF0153",2023-08-17,NA,NA,"Yes","No"
"HH0242","CHW008","Dagoretti",2023-06-30,7,FALSE,"REF0154",2023-06-30,NA,NA,"Yes","No"
"HH0243","CHW001","Lang'ata",2023-12-10,6,FALSE,"REF0155",2023-12-10,NA,NA,"Yes","No"
"HH0244","CHW003","Limuru",2023-03-15,8,FALSE,"REF0156",2023-03-15,2023-04-09,"FAC012","Yes","Yes"
"HH0245","CHW006","Kasarani",2023-10-18,3,TRUE,NA,NA,NA,NA,"No","No"
