household_id,chw_id,region,visit_date,family_size,has_itn
HH0125,CHW010,Dagoreti,2023-03-11,5,False
HH0126,CHW006,Kawangware,2023-05-17,5,False
HH0127,CHW010,Dagoreti,2023-09-08,8,False
HH0128,CHW007,Ruaraka,2023-06-14,4,False
HH0129,CHW001,Kasarani,2023-08-31,7,False
HH0130,CHW003,Limuru,2023-01-19,6,True
HH0131,CHW002,Uthiru,2023-02-21,8,False
HH0132,CHW002,Uthiru,2023-05-16,7,False
HH0133,CHW009,Dagoreti,2023-06-12,8,False
HH0134,CHW001,Limuru,2023-02-05,5,False
HH0135,CHW002,Uthiru,2023-02-20,2,False
HH0136,CHW001,Lang'ata,2023-06-16,5,False
HH0137,CHW004,Juja,2023-10-17,3,False
HH0138,CHW010,Dagoreti,2023-05-04,3,False
HH0139,CHW008,Dagoreti,2023-12-08,8,True
HH0140,CHW005,Lang'ata,2023-10-07,8,True
HH0141,CHW006,Kawangware,2023-06-03,7,False
HH0142,CHW005,Uthiru,2023-07-16,2,False
HH0143,CHW010,Limuru,2023-12-25,7,False
HH0144,CHW001,Limuru,2023-09-12,5,False
HH0145,CHW004,Juja,2023-11-14,3,False
HH0146,CHW001,Kasarani,2023-08-14,6,True
HH0147,CHW003,Limuru,2023-06-01,7,False
HH0148,CHW009,Ruaraka,2023-05-20,5,False
HH0149,CHW008,Dagoreti,2023-06-23,8,False
HH0150,CHW003,Limuru,2023-12-13,7,False
HH0151,CHW009,Dagoreti,2023-02-16,1,False
HH0152,CHW010,Limuru,2023-11-23,2,False
HH0153,CHW010,Dagoreti,2023-06-17,4,False
HH0154,CHW008,Dagoreti,2023-11-29,3,False
HH0155,CHW002,Ruaraka,2023-10-03,8,True
HH0156,CHW006,Kawangware,2023-12-23,7,False
HH0157,CHW007,Ruaraka,2023-09-08,5,False
HH0158,CHW004,Juja,2023-02-20,6,False
HH0159,CHW006,Embakasi,2023-07-23,2,False
HH0160,CHW008,Dagoreti,2023-12-06,1,False
HH0161,CHW004,Juja,2023-10-11,4,False
HH0162,CHW004,Juja,2023-03-17,1,False
HH0163,CHW003,Limuru,2023-03-31,1,True
HH0164,CHW003,Limuru,2023-07-03,4,False
HH0165,CHW003,Limuru,2023-09-27,2,True
HH0166,CHW008,Dagoreti,2023-07-05,2,False
HH0167,CHW009,Dagoreti,2023-08-23,1,False
HH0168,CHW007,Ruaraka,2023-12-18,8,True
HH0169,CHW002,Ruaraka,2023-06-14,2,False
HH0170,CHW010,Dagoreti,2023-12-31,5,False
HH0171,CHW002,Ruaraka,2023-12-02,4,False
HH0172,CHW007,Ruaraka,2023-08-21,2,False
HH0173,CHW003,Limuru,2023-02-04,2,True
HH0174,CHW002,Uthiru,2023-02-19,6,False
HH0175,CHW009,Kasarani,2023-10-28,6,False
HH0176,CHW007,Ruaraka,2023-05-28,6,False
HH0177,CHW003,Limuru,2023-04-25,6,False
HH0178,CHW006,Embakasi,2023-05-23,7,False
HH0179,CHW010,Dagoreti,2023-12-12,1,False
HH0180,CHW005,Uthiru,2023-04-03,5,False
HH0181,CHW006,Embakasi,2023-04-03,7,False
HH0182,CHW001,Lang'ata,2023-09-29,7,False
HH0183,CHW010,Dagoreti,2023-02-13,3,False
HH0184,CHW002,Uthiru,2023-08-15,8,False
HH0185,CHW004,Juja,2023-06-26,5,False
HH0186,CHW009,Ruaraka,2023-06-07,7,True
HH0187,CHW010,Juja,2023-01-04,4,False
HH0188,CHW005,Dagoreti,2023-03-03,7,True
HH0189,CHW003,Limuru,2023-07-14,4,False
HH0190,CHW006,Embakasi,2023-07-23,1,False
HH0191,CHW002,Uthiru,2023-10-22,7,False
HH0192,CHW002,Uthiru,2023-01-11,3,False
HH0193,CHW010,Limuru,2023-12-20,2,False
HH0194,CHW007,Ruaraka,2023-07-22,6,False
HH0195,CHW002,Ruaraka,2023-09-29,6,False
HH0196,CHW003,Limuru,2023-02-22,4,True
HH0197,CHW003,Limuru,2023-12-02,8,True
HH0198,CHW008,Dagoreti,2023-12-15,6,False
HH0199,CHW006,Embakasi,2023-08-14,8,True
HH0200,CHW005,Dagoreti,2023-10-30,2,True
HH0201,CHW005,Dagoreti,2023-08-20,6,True
HH0202,CHW005,Uthiru,2023-11-27,2,False
HH0203,CHW008,Dagoreti,2023-08-19,4,False
HH0204,CHW003,Limuru,2023-08-19,6,True
HH0205,CHW002,Ruaraka,2023-01-21,8,False
HH0206,CHW009,Ruaraka,2023-11-09,6,True
HH0207,CHW005,Dagoreti,2023-07-29,1,False
HH0208,CHW002,Uthiru,2023-02-18,7,False
HH0209,CHW010,Juja,2023-06-20,3,True
HH0210,CHW006,Kasarani,2023-12-02,7,False
HH0211,CHW002,Uthiru,2023-10-14,6,False
HH0212,CHW009,Kasarani,2023-11-27,6,False
HH0213,CHW008,Dagoreti,2023-04-26,3,False
HH0214,CHW002,Ruaraka,2023-12-05,3,False
HH0215,CHW003,Limuru,2023-01-23,4,False
HH0216,CHW010,Limuru,2023-08-18,4,False
HH0217,CHW008,Dagoreti,2023-07-08,8,False
HH0218,CHW009,Dagoreti,2023-03-24,3,False
HH0219,CHW001,Limuru,2023-09-04,2,False
HH0220,CHW002,Uthiru,2023-02-12,5,False
HH0221,CHW007,Ruaraka,2023-04-24,6,False
HH0222,CHW007,Ruaraka,2023-07-22,4,False
HH0223,CHW006,Embakasi,2023-11-29,3,False
HH0224,CHW003,Limuru,2023-08-18,2,False
HH0225,CHW010,Dagoreti,2023-08-05,5,True
HH0226,CHW004,Juja,2023-03-04,7,True
HH0227,CHW010,Limuru,2023-02-02,8,True
HH0228,CHW010,Dagoreti,2023-01-09,4,False
HH0229,CHW006,Embakasi,2023-10-20,2,False
HH0230,CHW009,Ruaraka,2023-10-11,8,True
HH0231,CHW001,Limuru,2023-07-18,5,False
HH0232,CHW004,Juja,2023-10-25,6,False
HH0233,CHW008,Dagoreti,2023-11-20,3,True
HH0234,CHW002,Uthiru,2023-01-19,1,False
HH0235,CHW006,Kasarani,2023-09-21,8,False
HH0236,CHW004,Juja,2023-07-02,1,False
HH0237,CHW006,Kasarani,2023-03-05,7,False
HH0238,CHW008,Dagoreti,2023-06-23,8,False
HH0239,CHW005,Uthiru,2023-08-06,3,True
HH0240,CHW009,Dagoreti,2023-06-14,6,True
HH0241,CHW005,Dagoreti,2023-08-17,7,False
HH0242,CHW008,Dagoreti,2023-06-30,7,False
HH0243,CHW001,Lang'ata,2023-12-10,6,False
HH0244,CHW003,Limuru,2023-03-15,8,False
HH0245,CHW006,Kasarani,2023-10-18,3,True
HH0246,CHW008,Dagoreti,2023-07-10,2,False
HH0247,CHW007,Ruaraka,2023-11-29,2,False
HH0248,CHW009,Kasarani,2023-05-15,8,False
HH0249,CHW008,Dagoreti,2023-03-04,2,True
HH0250,CHW008,Dagoreti,2023-08-16,6,False
HH0251,CHW009,Ruaraka,2023-05-29,3,False
HH0252,CHW003,Limuru,2023-09-18,4,False
HH0253,CHW006,Kawangware,2023-10-21,3,False
HH0254,CHW008,Dagoreti,2023-07-29,2,False
HH0255,CHW008,Dagoreti,2023-03-07,3,False
HH0256,CHW002,Ruaraka,2023-06-05,6,True
HH0257,CHW004,Juja,2023-09-23,2,False
HH0258,CHW009,Dagoreti,2023-03-06,2,False
HH0259,CHW003,Limuru,2023-10-16,1,True
HH0260,CHW002,Ruaraka,2023-11-25,5,False
HH0261,CHW007,Ruaraka,2023-09-12,5,False
HH0262,CHW005,Dagoreti,2023-02-07,3,False
HH0263,CHW004,Juja,2023-11-07,6,True
HH0264,CHW006,Kasarani,2023-03-08,2,False
HH0265,CHW005,Dagoreti,2023-05-07,1,True
HH0266,CHW005,Dagoreti,2023-11-12,3,False
HH0267,CHW010,Dagoreti,2023-06-10,3,True
HH0268,CHW008,Dagoreti,2023-09-13,8,False
HH0269,CHW009,Dagoreti,2023-05-04,6,False
HH0270,CHW005,Lang'ata,2023-01-05,7,False
HH0271,CHW006,Embakasi,2023-07-25,4,True
HH0272,CHW006,Kawangware,2023-05-28,8,True
HH0273,CHW009,Dagoreti,2023-11-16,2,False
HH0274,CHW009,Dagoreti,2023-03-15,7,True
HH0275,CHW009,Kasarani,2023-01-24,6,True
HH0276,CHW008,Dagoreti,2023-03-18,3,False
HH0277,CHW003,Limuru,2023-11-12,5,False
HH0278,CHW009,Ruaraka,2023-09-08,5,False
HH0279,CHW007,Ruaraka,2023-12-19,8,False
HH0280,CHW010,Dagoreti,2023-04-27,8,False
HH0281,CHW010,Limuru,2023-03-17,4,False
HH0282,CHW002,Ruaraka,2023-01-10,7,False
HH0283,CHW007,Ruaraka,2023-02-01,4,False
HH0284,CHW008,Dagoreti,2023-06-10,8,False
HH0285,CHW006,Kawangware,2023-07-01,5,False
HH0286,CHW009,Dagoreti,2023-04-26,5,False
HH0287,CHW008,Dagoreti,2023-09-03,5,False
HH0288,CHW009,Dagoreti,2023-07-22,3,False
HH0289,CHW006,Kasarani,2023-12-02,8,False
HH0290,CHW005,Lang'ata,2023-12-23,2,False
HH0291,CHW004,Juja,2023-12-09,4,False
HH0292,CHW008,Dagoreti,2023-12-15,1,False
HH0293,CHW003,Limuru,2023-12-01,8,False
HH0294,CHW005,Lang'ata,2023-01-31,2,False
HH0295,CHW003,Limuru,2023-04-01,1,False
HH0296,CHW007,Ruaraka,2023-04-06,5,False
HH0297,CHW001,Kasarani,2023-10-18,6,False
HH0298,CHW009,Ruaraka,2023-09-10,3,False
HH0299,CHW008,Dagoreti,2023-04-09,6,False
HH0300,CHW005,Lang'ata,2023-04-06,6,True
HH0301,CHW005,Lang'ata,2023-12-12,3,False
HH0302,CHW007,Ruaraka,2023-09-21,7,False
HH0303,CHW006,Embakasi,2023-01-04,4,False
HH0304,CHW010,Dagoreti,2023-10-21,6,True
HH0305,CHW004,Juja,2023-12-08,5,True
HH0306,CHW003,Limuru,2023-12-18,5,False
HH0307,CHW005,Dagoreti,2023-11-11,3,False
HH0308,CHW010,Limuru,2023-08-01,8,False
HH0309,CHW004,Juja,2023-12-15,2,False
HH0310,CHW006,Embakasi,2023-10-16,4,True
HH0311,CHW010,Dagoreti,2023-03-18,8,True
HH0312,CHW002,Ruaraka,2023-10-26,8,False
HH0313,CHW008,Dagoreti,2023-09-20,1,False
HH0314,CHW005,Lang'ata,2023-01-12,1,False
HH0315,CHW001,Kasarani,2023-06-26,1,False
HH0316,CHW002,Uthiru,2023-01-17,3,False
HH0317,CHW007,Ruaraka,2023-07-15,7,False
HH0318,CHW009,Kasarani,2023-12-01,2,False
HH0319,CHW009,Kasarani,2023-04-25,1,False
HH0320,CHW008,Dagoreti,2023-09-30,4,False
HH0321,CHW002,Ruaraka,2023-12-05,1,False
HH0322,CHW008,Dagoreti,2023-05-06,7,False
HH0323,CHW001,Lang'ata,2023-09-15,4,False
HH0324,CHW010,Limuru,2023-10-23,6,False
HH0325,CHW009,Kasarani,2023-07-31,1,False
HH0326,CHW003,Limuru,2023-10-12,6,False
HH0327,CHW007,Ruaraka,2023-12-23,3,False
HH0328,CHW004,Juja,2023-06-03,3,False
HH0329,CHW001,Limuru,2023-07-31,3,False
HH0330,CHW008,Dagoreti,2023-02-17,4,False
HH0331,CHW001,Lang'ata,2023-04-07,4,False
HH0332,CHW006,Kasarani,2023-01-08,4,False
HH0333,CHW002,Uthiru,2023-05-05,4,False
HH0334,CHW007,Ruaraka,2023-10-01,5,False
HH0335,CHW008,Dagoreti,2023-02-20,8,False
HH0336,CHW006,Kasarani,2023-01-24,4,False
HH0337,CHW010,Dagoreti,2023-08-02,4,False
HH0338,CHW008,Dagoreti,2023-05-12,8,False
HH0339,CHW008,Dagoreti,2023-03-28,6,False
HH0340,CHW008,Dagoreti,2023-10-05,1,False
HH0341,CHW002,Ruaraka,2023-01-04,4,False
HH0342,CHW008,Dagoreti,2023-01-31,8,False
HH0343,CHW007,Ruaraka,2023-01-09,5,False
HH0344,CHW003,Limuru,2023-02-19,4,False
HH0345,CHW006,Kasarani,2023-07-23,7,True
HH0346,CHW008,Dagoreti,2023-12-23,2,False
HH0347,CHW001,Lang'ata,2023-07-27,8,False
HH0348,CHW008,Dagoreti,2023-11-27,2,False
HH0349,CHW001,Lang'ata,2023-04-19,8,False
HH0350,CHW005,Lang'ata,2023-10-16,3,False
HH0351,CHW006,Embakasi,2023-04-17,7,False
HH0352,CHW005,Uthiru,2023-10-16,7,False
HH0353,CHW007,Ruaraka,2023-12-19,6,False
HH0354,CHW002,Uthiru,2023-11-06,7,False
HH0355,CHW006,Embakasi,2023-11-21,8,False
HH0356,CHW003,Limuru,2023-02-13,5,False
HH0357,CHW002,Uthiru,2023-03-20,3,False
HH0358,CHW001,Kasarani,2023-08-16,5,False
HH0359,CHW009,Ruaraka,2023-09-20,1,False
HH0360,CHW010,Dagoreti,2023-06-16,1,False
HH0361,CHW004,Juja,2023-12-17,3,False
HH0362,CHW003,Limuru,2023-05-22,8,False
HH0363,CHW010,Dagoreti,2023-04-11,3,False
HH0364,CHW006,Kawangware,2023-07-14,6,False
HH0365,CHW010,Juja,2023-06-03,4,False
HH0366,CHW005,Lang'ata,2023-12-22,4,False
HH0367,CHW006,Embakasi,2023-10-16,3,True
HH0368,CHW009,Kasarani,2023-08-25,4,False
HH0369,CHW007,Ruaraka,2023-03-13,4,False
HH0370,CHW002,Uthiru,2023-11-03,7,False
HH0371,CHW007,Ruaraka,2023-07-04,2,False
HH0372,CHW003,Limuru,2023-10-16,7,False
HH0373,CHW006,Kasarani,2023-02-24,5,True
HH0374,CHW004,Juja,2023-08-17,8,False
HH0375,CHW009,Kasarani,2023-06-26,8,False
HH0376,CHW002,Ruaraka,2023-03-14,6,False
HH0377,CHW008,Dagoreti,2023-08-13,8,False
HH0378,CHW001,Kasarani,2023-11-28,3,True
HH0379,CHW004,Juja,2023-10-10,7,True
HH0380,CHW008,Dagoreti,2023-07-27,3,False
HH0381,CHW001,Limuru,2023-11-11,8,False
HH0382,CHW004,Juja,2023-12-27,2,False
HH0383,CHW009,Kasarani,2023-07-07,8,False
HH0384,CHW008,Dagoreti,2023-11-02,7,False
HH0385,CHW010,Juja,2023-12-11,5,False
HH0386,CHW010,Juja,2023-12-11,2,True
HH0387,CHW004,Juja,2023-03-01,3,True
HH0388,CHW009,Dagoreti,2023-08-03,7,False
HH0389,CHW009,Ruaraka,2023-11-27,3,False
HH0390,CHW003,Limuru,2023-06-11,1,False
HH0391,CHW001,Kasarani,2023-03-11,7,True
HH0392,CHW009,Ruaraka,2023-12-01,8,False
HH0393,CHW008,Dagoreti,2023-02-12,4,False
HH0394,CHW003,Limuru,2023-10-17,8,False
HH0395,CHW009,Dagoreti,2023-10-05,1,False
HH0396,CHW004,Juja,2023-02-22,4,False
HH0397,CHW008,Dagoreti,2023-06-28,2,False
HH0398,CHW004,Juja,2023-10-29,7,False
HH0399,CHW001,Limuru,2023-06-29,3,False
HH0400,CHW005,Lang'ata,2023-05-17,2,False
HH0401,CHW007,Ruaraka,2023-05-22,3,False
HH0402,CHW004,Juja,2023-09-08,5,True
HH0403,CHW007,Ruaraka,2023-08-20,2,True
HH0404,CHW007,Ruaraka,2023-12-22,6,False
HH0405,CHW010,Juja,2023-02-17,8,False
HH0406,CHW002,Uthiru,2023-04-22,4,False
HH0407,CHW009,Ruaraka,2023-03-08,8,False
HH0408,CHW001,Lang'ata,2023-02-20,8,False
HH0409,CHW003,Limuru,2023-08-22,7,True
HH0410,CHW004,Juja,2023-11-29,5,False
HH0411,CHW003,Limuru,2023-07-22,4,False
HH0412,CHW004,Juja,2023-02-09,4,True
HH0413,CHW009,Ruaraka,2023-08-16,6,True
HH0414,CHW002,Uthiru,2023-12-22,2,True
HH0415,CHW004,Juja,2023-02-15,2,False
HH0416,CHW007,Ruaraka,2023-11-25,3,False
HH0417,CHW010,Dagoreti,2023-03-26,4,False
HH0418,CHW008,Dagoreti,2023-02-14,3,False
HH0419,CHW007,Ruaraka,2023-08-08,3,False
HH0420,CHW004,Juja,2023-12-20,5,True
HH0421,CHW004,Juja,2023-07-20,1,False
HH0422,CHW004,Juja,2023-07-17,8,True
HH0423,CHW010,Juja,2023-09-28,1,False
HH0424,CHW006,Embakasi,2023-07-18,7,False
HH0425,CHW008,Dagoreti,2023-01-09,1,False
HH0426,CHW009,Dagoreti,2023-11-18,7,False
HH0427,CHW009,Ruaraka,2023-11-12,2,True
HH0428,CHW005,Uthiru,2023-09-19,3,False
HH0429,CHW005,Lang'ata,2023-08-12,4,False
HH0430,CHW008,Dagoreti,2023-06-08,3,False
HH0431,CHW001,Lang'ata,2023-09-12,5,False
HH0432,CHW002,Ruaraka,2023-06-21,5,False
HH0433,CHW008,Dagoreti,2023-09-19,8,False
HH0434,CHW003,Limuru,2023-03-22,2,False
HH0435,CHW002,Ruaraka,2023-09-18,1,True
HH0436,CHW004,Juja,2023-08-30,3,False
HH0437,CHW001,Limuru,2023-12-02,6,False
HH0438,CHW006,Kasarani,2023-02-09,2,False
HH0439,CHW003,Limuru,2023-09-22,7,False
HH0440,CHW005,Dagoreti,2023-06-17,8,True
HH0441,CHW001,Kasarani,2023-04-13,5,False
HH0442,CHW008,Dagoreti,2023-10-07,4,False
HH0443,CHW001,Lang'ata,2023-10-05,1,False
HH0444,CHW001,Limuru,2023-07-12,5,False
HH0445,CHW004,Juja,2023-09-09,3,False
HH0446,CHW009,Dagoreti,2023-12-25,8,False
HH0447,CHW002,Ruaraka,2023-09-16,7,True
HH0448,CHW002,Ruaraka,2023-08-11,3,False
HH0449,CHW006,Kasarani,2023-08-20,2,False
HH0450,CHW003,Limuru,2023-03-21,8,True
HH0451,CHW008,Dagoreti,2023-07-28,6,True
HH0452,CHW004,Juja,2023-06-07,2,False
HH0453,CHW005,Lang'ata,2023-12-23,4,False
HH0454,CHW006,Embakasi,2023-02-16,6,False
HH0455,CHW003,Limuru,2023-07-27,4,False
HH0456,CHW002,Ruaraka,2023-02-01,4,False
HH0457,CHW006,Kawangware,2023-11-19,2,False
HH0458,CHW001,Lang'ata,2023-04-12,8,False
HH0459,CHW002,Uthiru,2023-03-04,8,True
HH0460,CHW001,Lang'ata,2023-10-21,7,False
HH0461,CHW006,Embakasi,2023-04-06,8,False
HH0462,CHW001,Limuru,2023-11-14,5,False
HH0463,CHW008,Dagoreti,2023-02-14,3,False
HH0464,CHW009,Kasarani,2023-11-19,1,False
HH0465,CHW006,Kasarani,2023-10-06,6,False
HH0466,CHW009,Dagoreti,2023-07-18,1,False
HH0467,CHW001,Kasarani,2023-09-29,4,False
HH0468,CHW002,Ruaraka,2023-12-03,1,False
HH0469,CHW010,Limuru,2023-07-01,3,False
HH0470,CHW006,Kawangware,2023-01-15,6,False
HH0471,CHW010,Juja,2023-10-16,8,False
HH0472,CHW001,Lang'ata,2023-11-05,8,False
HH0473,CHW004,Juja,2023-06-24,6,False
HH0474,CHW002,Uthiru,2023-02-07,7,False
HH0475,CHW003,Limuru,2023-11-24,6,False
HH0476,CHW010,Limuru,2023-04-25,3,False
HH0477,CHW005,Uthiru,2023-04-01,7,False
HH0478,CHW010,Juja,2023-04-04,4,False
HH0479,CHW006,Kawangware,2023-02-09,6,False
HH0480,CHW002,Uthiru,2023-08-17,4,True
HH0481,CHW004,Juja,2023-06-29,2,False
HH0482,CHW003,Limuru,2023-09-10,6,False
HH0483,CHW004,Juja,2023-08-20,1,True
HH0484,CHW005,Uthiru,2023-06-13,2,False
HH0485,CHW002,Ruaraka,2023-06-23,8,False
HH0486,CHW003,Limuru,2023-03-22,6,True
HH0487,CHW004,Juja,2023-07-29,5,False
HH0488,CHW007,Ruaraka,2023-03-20,1,True
HH0489,CHW007,Ruaraka,2023-05-31,8,False
HH0490,CHW002,Uthiru,2023-03-01,7,False
HH0491,CHW005,Uthiru,2023-11-25,3,False
HH0492,CHW001,Kasarani,2023-08-14,4,False
HH0493,CHW010,Juja,2023-03-19,2,False
HH0494,CHW010,Juja,2023-10-11,7,True
HH0495,CHW009,Dagoreti,2023-10-02,8,False
HH0496,CHW007,Ruaraka,2023-09-15,3,False
HH0497,CHW003,Limuru,2023-04-19,3,False
HH0498,CHW004,Juja,2023-11-01,2,False
HH0499,CHW009,Dagoreti,2023-05-22,1,False
HH0500,CHW009,Dagoreti,2023-02-27,3,False
HH0501,CHW002,Ruaraka,2023-10-16,5,False
HH0502,CHW006,Kasarani,2023-05-16,8,False
HH0503,CHW003,Limuru,2023-07-26,7,True
HH0504,CHW001,Kasarani,2023-06-19,1,False
HH0505,CHW006,Embakasi,2023-06-22,5,False
HH0506,CHW002,Ruaraka,2023-03-10,8,False
HH0507,CHW010,Dagoreti,2023-02-15,4,True
HH0508,CHW007,Ruaraka,2023-09-22,1,False
HH0509,CHW007,Ruaraka,2023-09-26,1,False
HH0510,CHW004,Juja,2023-05-08,1,True
HH0511,CHW006,Kawangware,2023-04-12,8,False
HH0512,CHW002,Ruaraka,2023-05-04,8,False
HH0513,CHW010,Dagoreti,2023-06-29,5,False
HH0514,CHW005,Uthiru,2023-07-17,4,True
HH0515,CHW004,Juja,2023-12-13,7,False
